,stage,dow,birth,giv,gen,dob,dod,type,orig,pict,notes
289,Barbara Bain,1971-1973,Bain,Barbara,F,1932,199x,R:lead,\Am,,Mt(Martin Landau)
290,Fay Bainter,1934-1962,Bainter,Fay,F,1892,1968,R:stalwart matron,\Am,[4.697],
291,Scott Baio,1978-1982,Baio,Scott,M,1961,199x,R:teenager,\Am,,
292,Blanche Baker,1984-1990,,,F,[1],199x,RU:,\Un,,Cit(2)
293,Carrol Baker,1953-1983,Baker,Carrol,F,1931,199x,R:sex symbol,\Am,[9.148],
294,Diane Baker,1959-1971,Baker,Diane,F,1936,199x,R:demure,\Am,,
295,Hylda Baker,1960-1973,Baker,Hylda,F,1909,199x,R:comedienne,\Br,,
296,Joe Don Baker,1967-1979,Baker,Joe Don,M,1943,199x,R:tough,\Am,,
297,Josephine Baker,1927,Baker,Josephine,F,1906,1975,R:sexy dancer,\Am,,
298,Kathy Baker,1987-1990,,,F,[1],199x,R:good girl,\Am,,Cit(4)
299,Kenny Baker,1936-1946,Baker,Kenny,M,1912,199x,R:crooner,\Am,,
300,Ruby Baker,1982,,,F,[1],199x,RU:,\Un,,Cit(1)
301,Stanley Baker,1941-1975,Baker,Sir Stanley,M,1927,1976,R:virile,\Br; Welsh,,"Also(D,P)"
302,Tom Baker,1971-1975,Baker,Tom,M,1935,199x,R:larger than life,\Br,,Ty(Doctor Who)
303,Bob Balaban,1978-1966,Balaban,Bob,M,1965,199x,R:character,\Am,,Also(D)
304,Jill Balcon,1947,Balcon,Jill,F,1925,199x,RU:,\Br,,Ch(Michael Balcon) Pa(Daniel DayLewis)
305,Rebecca Balding,,,,F,[1],199x,RU:,\Un,,|
306,Adam Baldwin,1980-1989,,,M,[1],199x,RU:,\Un,,Cit(2)
307,Alec Baldwin,1988-1990,Baldwin,Alec,M,195x,199x,R:peevish,,[1],
308,Daniel Baldwin,,Baldwin,Daniel,M,[1],199x,RU:,\Am,,Si(Alec Baldwin) Cit(0)
309,Stephen Baldwin,,Baldwin,Stephen,M,1963+,199x,RU:,\Am,,"Si(Alec Baldwin, Daniel Baldwin, William Baldwin) Cit(0)"
310,William Baldwin,1989-1990,Baldwin,William (Billy),M,1963,199x,RU:,\Am,,Si(Alec Baldwin)
311,Betty Balfour,1928-1945,Balfour,Betty,F,1903,199x,R:comedienne,\Br,,Ww(Hitchcock)
312,Mireille Balin,1933-1937,Balin,Mireille,F,1909,1968,R:lead,\Fr,,
313,Florinda Balkan,1970-1975,,,F,[1],199x,R:mistress,,,
314,Lucille Ball,1933-1973,Ball,Lucille,F,1910,1989,R:comedienne,\Am,,"In(Hitchcock) Mt(Desi Arnaz, Gary Morton)"
315,Vincent Ball,1956-1960,Ball,Vincent,M,*,199x,RU:,\Au,,
316,Kay Ballard,1956-1980,Balotta,Catherine (Kaye),F,1926,199x,R:comedienne,\Am,,
317,Martin Balsam,1954-1982,Balsam,Martin,M,1919,199x,"R:quiet, comfortable",\Am,[4.152],
318,Anne Bancroft,1952-,Italiano,Anna Maria,F,1931,199x,"R:warm, competent",\Un,[4.35],
319,George Bancroft,1921-1942,Bancroft,George,M,1882,1956,R:burly,\Am,[4.1122],
320,Antonio Banderas,,,,M,[1],199x,RU:,\Un,,|
321,Victor Banerjee,,,,M,[1],199x,RU:,\Un,,|
322,Donatas Banionis,,,,M,[1],199x,RU:,\Un,,|
323,Alex Bank,,,,M,[1],199x,RU:,\Un,Er(name),|
324,Tallulah Bankhead,1918-1965,Bankhead,Tallulah,F,1902,1968,R:theatrical,\Am,,Ww(Hitchcock)
325,Aaron Banks,,,,M,[1],199x,RU:,\Un,,|
326,Leslie Banks,1932-1950,Banks,Leslie,M,1890,1952,R:tough sophisticate,\Br,,Ww(Hitchcock)
327,Vilma Banky,1920-1933,Lonchit,Vilma,F,1902,199x,R:silent,\Os-\Hu,Mt(Rod LaRoque),|
328,Ian Bannen,1955-1983,Bannen,Ian,M,1928,199x,R:effective,\Br,,
329,John Banner,1943-1971,Banner,John,M,1910,1973,R:German sergeant,\Po-\Am,,Ww(Hitchcock)
330,Theda Bara,1915-1926,Goodman,Theodosia,F,1890,1955,R:vamp,\Am,,
331,Olga Baraclanova,,,,F,[1],199x,RU:,\Un,,|
332,Christine Baranski,,,,F,[1],199x,RU:,\Un,,|
333,Vanna Barba,1992,Barba,Vanna,F,1967,199x,R:sexy,\Gr,,
334,Adrienne Barbeau,1977-1982,Barbeau,Adrienne,F,1949,199x,R:lead,\Am,,
335,George Barbier,1924-1945,Barbier,George,M,1865,1945,R:blustery kind man,\Am,,
336,Joyce Barbour,1936,,,F,"[1,6]",199x,RU:,\Un,,Ww(Hitchcock)
337,Brigitte Bardot,1954-1973,Javal,Camille,F,1933,199x,R:sexy,\Fr,,"Mt(Roger Vadim; P, Jaques Charnier; A, Gunther Sachs; A. Bernard dOrmale)"
338,Mijanou Bardot,1960,Javal,Mijanou,F,,199x,R:sexy,\Fr,,Si(Brigitte Bardot)
339,Sonny Barger,,,,M,[1],199x,RU:,\Un,,|
340,Lynn Bari,1933-1962,Fisher,Marjorie,F,1915,1989,R:pert,\Am,,
341,Norah Baring,1928-1933,Baring,Norah,F,1907,199x,R:lead,\Br,,Ww(Hitchcock)
342,Erik Barker,1937-1970,Barker,Erik,M,1912,199x,R:character,\Br,[4.837],
343,Ronnie Barker,1963-1979,Barker,Ronnie,M,1929,199x,R:portly,\Br,,
344,Lex Barker,1949-1952,Barker,Alexander,M,,199x,R:ape man,\Am,[9.318],
345,Ellen Barkin,1982-1989,Barkin,Ellen,F,1954,199x,R:sexy wives,\Am,,Lw(Gabriel Byrne)
346,Marcie Barkin,1975,,,F,[1],199x,RU:,\Un,,Cit(1)
347,Mikhail Barishnikov,1979,,,M,[1],199x,R:dancer,\Ru,,Cit(1)
348,Binnie Barnes,1931-1972,Barnes,Gitelle,F,1905,1983,R:light,\Br,,
349,Jake Barnes,,,,M,[1],199x,RU:,\Un,,|
350,Joanna Barnes,1958-1970,Barnes,Joanna,F,1934,199x,R:cool,\Am,,
351,Julian Barnes,,,,M,[1],199x,RU:,\Un,,|
352,Priscilla Barnes,,,,F,[1],199x,RU:,\Un,,|
353,Charlie Barnett,,,,M,[1],199x,RU:,\Un,,|
354,Nella Barnier,,,,F,[1],199x,RU:,\Un,,|
355,Sandy Baron,,,,,[1],199x,RU:,\Un,,|
356,Pierre Barouh,,,,M,"[1,6]",199x,RU:,\Un,,|
357,Maria Barranco,,,,F,"[1,6]",199x,RU:,\Un,,|
358,JeanLouis Barrault,1935-1967,Barrault,Jean-Louis,M,1910,1994,R:stage actor,\Fr,,Also(D) Mt(Madelaine Renaud)
359,MarieChristine Barrault,1969-1978,Barrault,Marie-Christine,F,1944,199x,RU:,\Fr,,"Ch(Si(JeanLouis Barrault)) Mt(, Roger Vadim)"
360,Edith Barrett,1941-1956,Williams,Edith,F,1907,1977,R:secondary,\Am,,Mt(Vincent Price)
361,Judith Barrett,1936-1940,Kelly,Lucille,F,1914,199x,R:B-movie lead,\Am,,
362,Barbara Barrie,1964-1980,Barrie,Barbara,F,,199x,R:pert,\Am,,
363,Mona Barrie,1933-1953,Smith,Mona,F,1909,199x,R:ladylike,\Au,,
364,Wendy Barrie,1932-1954,Jenkins,Wendy,F,1912,1978,R:lead,\Br,,
365,Edgar Barrier,1940-1963,Barrier,Edgar,M,1906,1964,R:suave villain,\Am,,
366,Maurice Barrier,1982,,,M,[1],199x,RU:,\Fr,,Cit(1)
367,George Barris,1979,,,M,"[1,6]",199x,RU:,\Un,Cit(1),|
368,Gene Barry,1952-1979,Klass,Eugene,M,1921,199x,R:poised,\Am,,Also(P) Pa(Michael Barry (D))
369,Joan Barry,1922-1934,Barry,Joan,F,1903,199x,R:lead,\Br,,Nt(Anny Odra's voice in Blackmail)
370,Diane Barrymore,1942-1944,Barrymore Blythe,Diane Blanche,F,1921,1960,R:unhappy,\Am,,Ch(John Barrymore) Ch(Michael Strange= Blanche Oelrichs)
371,Drew Barrymore,1982-1992,Barrymore,Drew,F,1976,199x,R:determined child,\Am,,Ch(John Barrymore~jr)<)
372,Ethel Barrymore,1914-1957,Blythe,Edith Mae,F,1879,1959,R:regal presence,\Am,,"Ch(Maurice Barrymore, Georgiana Drew) Si(John Barrymore, Lionel Barrymore) Ww(Hitchcock) ER(fn)"
373,John Barrymore,1913-1942,Blythe,John,M,1882,1942,R:churlish grandpa,\Am,,"St(MGM) Si(Ethel B., Lionel Barrymore) Pa(Diana B., John Drew B.) Mt(Michael Strange, Dolores Costello)"
374,John Barrymore~jr.,1950-1963,Blythe Barrymore,John Drew,M,1932,199x,R:weakling,\Am,,"Ch(John Barrymore, Dolores Costello) Mt(Cara Williams)"
375,John Barrymore~III,,,,M,,199x,RU:,\Un,,|
376,Lionel Barrymore,1909-1953,Blythe,Lionel,M,1878,1954,R:churlish grandpa?,\Am,[4.942],"Si(Ethel, John B.) St(Biograph (1909),MGM(1926)) Mt(Doris Rankin, Irene Fenwick)Ty(Dr.Gillespie) Also(W,D)"
377,Doris Rankin,,Rankin,Doris,[6],,,RU:,\Am,,Mt(Lionel Barrymore (1904-1923))
378,Irine Fenwick,,Fenwick,Irene,[6],1936,,RU:,\Am,,Mt(Lionel Barrymore (!923-1936))
379,Maurice Barrymore,,Blythe,Herbert,M,"[1,6]",199x,R:[stage],\Am,,"Mt(Georgiana Drew) Pa(Ethel Barrymore, John Barrymore, Lionel Barrymore)"
380,Georgiana Drew,,Blythe,Herbert,M,"[1,6]",199x,R:[stage],\Am,,"Mt(Maurice Barrymore) Si(John Drew) Pa(Ethel Barrymore, John Barrymore, Lionel Barrymore)"
381,Paul Bartels,1976-1981,Bartels,Paul,M,1940,199x,R:wild,\Am,,Also(D)
382,Eddie Barth,1979,,,M,[1],199x,RU:,\Un,,Cit(1)
383,Richard Barthelmess,1916-1942,Barthelmess,Richard,M,1895,1963,R:presentable innocent,\Am,,Also(P)
384,Freddie Bartholomew,1930-1951,Llewellyn,Frederick,M,1924,1992,R:well-bred child,\Ir,,
385,Eve Bartok,1951-1964,"Sj\""oke",Eva,F,1926,199x,R:agreeable,\Hu,,"Mt(Alexander Paal, William Wordsworth, Curt Jurgens)"
386,James Barton,1923-1961,Barton,James,M,1890,1962,R:grubby,\Am,,
387,Richard Basehart,1947-1982,Basehart,Richard,M,1915,1984,R:thoughtful,\Am,,
388,Tony Basil,1969,,,M,[1],199x,RU:,\Un,,Cit(1)
389,Kim Basinger,1982-1989,Basinger,Kim,F,1953,1998x,"R:stunning, vulnerable looking lead",\Am,,Mt(Alec Baldwin)
390,Count Basie,dow,Basie,William,M,19aa,199x,R:musician,\Am,,
391,Richard Baskin,1975-1976,Baskin,Richard,M,,199x,RU:,\Un,,|
392,Alfie Bass,1954-1967,Bass,Alfie,M,19aa,1987,R:sr,\Ct,,
393,Lina Basquette,1916-1928,Basquette,Lena,F,1907,199x,"R:dancer, rebel",\Am,,"Mt(Sam Warner, Pev Marley, Ray Hallam, Teddy Hayes(*2) Henry Mollison) Lw(Kuri Huirichi, Warner Gilmore) Nt(interview 1988)"
394,Albert Basserman,1913-1948,Basserman,Albert,M,1867,1952,R:sympathetic,\Ge,,Ww(Hitchcock)
395,Angela Bassett,1991-1993,Bassett,Angela,F,1958,199x,R:mother,\Un,,Cit(1)
396,Steve Bassett,1983,,,M,[1],199x,RU:,\Un,,Cit(1)
397,Alexandra Bastedo,1963-1975,Bastedo,Alexandra,F,1946,199x,R:lead,\Ca-\It-\Br,,
398,Alan Bates,1959-1983,Bates,Alan,M,1934,199x,R:thoughtful tough,\Br,,
399,Barbara Bates,1949,,,F,[1],199x,RU:,\Un,,|
400,Florence Bates,1937-1953,Rabe,Florence,F,1888,1954,R:matron (friendly or fiendish),\Am,,Ww(Hitchcock)
401,Kathy Bates,1982-1990,Bates,Kathy,F,1958,199x,R:plump,\Am,,Cit(2)
402,Michael Bates,1955-1977,Bates,Michael,M,1920,1978,R:stupid policeman,\Br,,
403,Belinda Bauer,1983-1990,,,F,[1],199x,R:dancer,\Am,,Cit(3)
404,Steven Bauer,1983-1986,,,M,[1],199x,RU:,\Un,,Cit(2)
405,Harry Baur,1910-1942,Baur,Harry,M,1880,1943,R:celebrated,\Fr,,Nt(imprisoned 1940)
406,Barbara Baxley,1958-1979,Baxley,Barbara,F,,199x,R:gorgeous,\Am,,Ww(Hitchcock)
407,Alan Baxter,1935-1971,Baxter,Alan,M,1908,1976,R:colonel,\Am,,
408,Anne Baxter,1940-1983,Baxter,Ann,F,1923,1985,"R:shy innocent, cold eyed schemer",\Am,,Ww(Hitchcock) Ch(ch(Frank Lloyd Wright)) Mt(John Hodiak)
409,Jane Baxter,1932-1951,Forde,Feodora,F,1909,199x,R:gentle-mannered,\Br,,
410,Warner Baxter,1914-1950,Baxter,Warner,M,1889,1951,R:distinguished,\Am,,
411,Sarah Bay,1972,Neri,Rosalba,F,[1],199x,RU:,\It,,
412,Nathalie Baye,1950-1982,Baye,Nathalie,F,[1],199x,RU:,\Un,,"Also(W,P)"
413,Gary Bayer,,,,M,[1],199x,RU:,\Un,,|
414,Geoffrey Bayldon,1953-1983,Bayldon,Geoffrey,M,1924,199x,R:lanky excentric,\Br,,
415,Stephanie Beacham,1969-1980,Beacham,Stephanie,F,1949,199x,R:lead,\Br,,
416,John Beal,1933-1983,Bliedung,Alexander,M,1909,199x,R:boyish innocence,\Am,,
417,Jennifer Beals,,,,F,[1][1],199x,RU:,\Un,,|
418,Emanuelle Beart,1985-1991,B\'eart,Emanuelle,F,1965,\Und,R:naive beauty,\Fr,,Lw(Daniel Auteuil) Ch(Guy B\'eart; folksinger) Er (Emmanuelle)
419,The Beatles,1964-1981,The Beatles,,G,1940,199x,R:pop,\Br,,"Nt(John Lennon, George Harris, Paul McCartney, Ringo Starr)"
420,Ned Beatty,1972-1983,Beatty,Ned,M,1937,199x,R:chubby,\Am,"[4.111,133]",
421,Robert Beatty,1943-1973,Beatty,Robert,M,1909,199x,R:lead,\Ca,,
422,Warren Beatty,1961-1978,Beaty,Warren,M,1937,199x,R:pschological maladjustment,\Am,[4.208][9.38],Si(Shirley MacLaine) Lw(Diane Sawyer)
423,Louise Beavers,1929-1961,Beavers,Louise,F,1902,1962,R:happy housekeeper,\Am,,
424,John C. Becher,,,,M,[1],199x,RU:,\Un,,|
425,Sidney Bechet,1930,Bechet,Sidney,M,1892,1959,R:clarinetist,\Am,,Nt()
426,Jenny Beck,1976,Beck,Jennifer,F,1974,199x,R:daughter,\Am,,
427,John Beck,1969-1981,Beck,John,M,1943,199x,R:lead,\Am,,
428,Kimberly Beck,,,,F,[1],199x,RU:,\Un,,|
429,Michael Beck,1977-1981,Beck,Michael,M,1948,199x,R:lead,\Am,,
430,Stanley Beck,,,,M,[1],199x,RU:,\Un,,|
431,Barry Beckerman,,,,M,[1],199x,RU:,\Un,,|
432,Scotty Beckett,1934-1956,Beckett,Scotty,M,1929,1968,R:soulful-looking,\Am,,
433,Reginald Beckwith,1941-1965,Beckwith,Reginald,M,1908,1965,R:high voice,\Br,,
434,Don Beddoe,1939-1969,Beddoe,Don,M,1888,1979,R:genial look,\Am,,
435,Bonnie Bedelia,1969-1990,Bedelia,Bonnie,F,1946,199x,R:lead,\Am,,
436,Kabir Bedi,1976-1983,Bedi,Kabir,M,1935,199x,R:lead,\In,,
437,Alfonso Bedoya,1947-1957,Bedoya,Alfonso,M,1904,1957,R:beaming face,\Me,,
438,Molly Bee,,,,F,[1],199x,RU:,\Un,,|
439,Noah Beery,1918-1946,Beery,Noah,M,1884,1946,R:villain,\Am,,Si(Wallace Beery)
440,Noah Beery~jr.,1920-1982,Beery~jr.,Noah,M,1913,1994,R:easy going sidekick,\Am,,Ch(Noah Beery)
441,Wallace Beery,1916-1949,Beery,Wallace,M,1880,1949,"R:tough, ugly, slow-thinking, easy-going",\Am,,Er(dob)
442,Hagan Beggs,,,,M,[1],199x,RU:,\Un,,|
443,Ed Begley,1947-1969,Begley,Ed,M,1901,1970,R:jovial uncle,\Am,,
444,Ed Begley~jr.,1972-1979,Begley~jr.,Ed,M,,199x,R:character actor,\Am,,
445,Harry Belafonte,1953-1974,Belafonte,Harry,M,1927,199x,R:ballad singer,\Am,,
446,Charles Belcher,,,,M,[1],199x,RU:,\Un,,|
447,Barbara BelGeddes,1947,Lewis,Barbara Geddes,F,[1]1927,199x,R:placid,\Am,[34.],in(Dallas) Ww(Hitchcock)
448,Ann Bell,1962-1980,Bell,Ann,F,,199x,R:character,\Br,,
449,James Bell,1932-1963,Bell,James,M,1891,1973,R:character,\Am,,
450,Marie Bell,1928-1966,Bellon-Downey,Marie-Jeanne,F,1900,1985,R:distinguished,\Fr,,
451,Rex Bell,1930,Bell,Rex,M,[1],1962,R:cowboy,\Am,,
452,Tom Bell,1961-1978,Bell,Tom,M,1933,199x,"R:gaunt, lead",\Br,,
453,Madge Bellamy,1923-1928,Philpott,Margaret,F,1903,199x,R:general purpose,\Am,,
454,Ralph Bellamy,1931-1983,Bellamy,Ralph,M,1904,1991,R:rich `other man',\Am,[4.206],Aw(Hon AA 1986)
455,Harry Bellaver,1940-1980,Bellaver,Harry,M,1905,199x,"R:cop, small-time gangster or cabbie",\Am,,
456,Kathleen Beller,1974-1983,Beller,Kathleen,F,1955,199x,R:lead,\Am,,
457,Agostina Belli,,,,M,[1],199x,RU:,\Un,,|
458,Olga Bellin,,,,F,[1],199x,RU:,\Un,[4.120],
459,JeanPaul Belmondo,1958-1983,Belmondo,Jean,M,1933,199x,R:interesting but unhandsome lead,\Fr,,
460,Belmonts,,,,,[1],199x,RU:,\Un,,|
461,Lionel Belmore,1915-1940,Belmore,Lionel,M,1867,1953,R:portly,\Br,,
462,Richard Beltran,,,,M,[1],199x,RU:,\Un,,|
463,Robert Beltran,,,,M,[1],199x,RU:,\Un,,|
464,Jim Belushi,,,,M,[1],199x,RU:,\Un,,|
465,John Belushi,1978-1981,Belushi,John,M,1949,1982,R:overweight comic,\Am,,
466,Richard Belzer,,,,M,[1],199x,RU:,\Un,,|
467,Pat Benatar,,,,F,[1][1],199x,R:singer,,,|
468,Brian Benben,,,,M,[1],199x,RU:,\Un,,|
469,Robert Benchley,1933-1946,Benchley,Robert,M,1889,1945,R:lovable bumbler,\Am,,Mainly(magazine humorist) Ww(Hitchcock)
470,William Bendix,1942-1965,Bendix,William,M,1906,1964,R:sweet tough,\Am,"[4.504,992]",Ww(Hitchcock)
471,Billy Benedict,1935-1976,Benedict,Billy,M,1906,199x,"R:an original `Bowery Boy', now cabby bartender",\Am,,
472,Dirk Benedict,1975-1983,Niewoehner,Dirk,M,1945,199x,R:lead,\Am,,
473,Paul Benedict,,,,M,[1][1],199x,RU:,\Un,,|
474,Richard Benedict,1946-1960,Benedetto,Riccardo,M,1916,199x,R:heavy,\Am,,
475,Annette Bening,1990-1991,Bening,Annette,F,,199x,R:sex kitten,\Am,,
476,Richard Benjamin,1953-1982,Benjamin,Richard,M,1938,199x,R:diffident,\Am,,Mt(Paula Prentiss) Also(D)
477,Alma Bennett,1914-1930,Bennett,Belle,F,1889,1958,R:silent vamp,\Am,,
478,Barbara Bennett,1929-1930,Bennett,Barbara,F,1902,1958,R:silent lead,\Am,,
479,Belle Bennett,1918-1931,Bennett,Belle,F,1891,1932,R:silent lead,\Am,,
480,Bruce Bennett,1934-1961,Brix,Herman,M,1909,199x,R:athletic,\Am,,Nt(used own name to 1940)
481,Constance Bennett,1922-1965,Bennett,Constance,F,1904,1965,R:worldly,\Am,[4.1066],Si(Barbara Bennett)
482,Hywel Bennett,1966-1980,Bennett,Hywel,M,1944,199x,R:innocent,\Br; Welsh,,
483,Jill Bennett,1953-1982,Bennett,Jill,F,1944,1990,"R:emancipated, unusual",\Br,,
484,Joan Bennett,1915-1978,Bennett,Joan,F,1910,1990,R:attractive,\Am,,"Si(Constance Bennett) Mt(,,Walter Wanger) Nt(career aborted after her husband shot her agent)"
485,Joe Bennett,,,,M,[1][1],199x,RU:,\Un,,|
486,John Bennett,1959-1977,Bennett,John,M,1928,199x,R:swarthy,\Br,,
487,Marjorie Bennett,1947-1976,Bennett,Marjorie,F,1894,1982,R:bathing beauty,\Am,,
488,Richard Bennett,1923-1943,Bennett,Richard,M,1873,1944,R:dapper,\Am,,"P(Barbara, Constance, Joan)"
489,Annette Benning,1993,Benning,Anette,F,1958,199x,R:lively,\Am,,
490,Jack Benny,1929-1967,Kubelsky,Benjamin,M,1894,1974,R:reproachful comedian,\Am,[4.95],Mt(Mary Livingstone (Sadye Marks))
491,Martin Benson,1949-1981,Benson,Martin,M,1918,199x,R:smooth crook,\Br,,
492,Robby Benson,1973-1982,Segal,Robert,M,1956,199x,R:cute juvenile,\Am,,
493,Michael Bentine,1966,Bentine,Michael,M,1922,199x,R:goonish,\Br-Peruvian,,
494,Barbi Benton,,,,F,[1],199x,R:playboy girl,,,|
495,Susanne Benton,,,,F,[1],199x,RU:,\Un,,|
496,Iris Berben,,,,F,[1],199x,RU:,\Un,,|
497,Tom Berenger,1977-1983,Berenger,Tom,M,1950,199x,R:brooding,\Am,[4.97],
498,Marisa Berenson,1972-1981,Berenson,Marisa,F,1946,199x,R:fashion model,\Un,[4.97],Nt(international)
499,Judith-Marie Bergan,,,,F,[1],199x,RU:,\Un,,|
500,Candice Bergen,1966-1982,Bergen,Candice,F,1946,199x,R:stylish,\Am,,Ch(Edgar Bergen)
501,Polly Bergen,1950-1970,Burgin,Nellie,F,1929,199x,R:singer,\Am,[34.209],Ww(Hitchcock)
502,William Bergen,,,,M,[1],199x,RU:,\Un,,|
503,Helmut Berger,1969-1977,Steinberger,Helmut,M,1944,199x,"R:sinister, handsome",\Os,,
504,Katya Berger,,,,F,[1],199x,RU:,\Un,,|
505,Senta Berger,1957-1977,Berger,Senta,F,1941,199x,R:lead,\Os,,
506,Sidney Berger,,,,M,1962,199x,RU:,\Un,[4.186],
507,William Berger,,,,M,[1],199x,RU:,\Un,,|
508,Jacques Bergerac,1957-1965,Bergerac,Jacques,M,1927,199x,R:lead,\Fr,,
509,Herbert Berghof,1952-1980,Berghof,Herbert,M,1909,1990,R:character,\Os,,Mainly(drama teacher)
510,Ingrid Bergman,1934-1978,Bergman,Ingrid,F,1915,1982,"R:innocent, strong beauty",\Sw,[4.662],Mt(Roberto Rosselini) Ww(Hitchcock) Aw(AFI#4)
511,Harold Bergman,,,,M,[1],199x,RU:,\Un,,|
512,Henry Bergman,,,,M,[1],199x,RU:,\Un,,|
513,Sandahl Bergman,,,,,[1],199x,RU:,\Un,,|
514,Tracy Bergman,,,,,[1],199x,RU:,\Un,,|
515,Elisabeth Bergner,1924-1979,Ettel,Elisabeth,F,1898,1986,R:fey gamine,\Ge,,Mt(Paul Czinner; P)
516,Thommy Bergren,,,,M,[1],199x,RU:,\Un,,|
517,Steven Berkoff,,,,M,[1],199x,RU:,\Un,,|
518,Milton Berle,1937-1980,Berlinger,Mendel,M,1908,199x,R:brash comic,\Am,,
519,Irving Berlin,1943,Baline,Israel,M,1888,199x,R:singer,\Am,,Pr(composer)
520,Jennie Berlin,1972,Berlin,Jean,F,,199x,RU:,\Am,,ch(Elane may; D)
521,Shelley Berman,1964-1970,Berman,Shelley,M,1926,199x,R:cabaret monologuist,\Am,,
522,Susan Berman,,,,F,[1],199x,RU:,\Un,,|
523,Jason Bernhard,,,,M,[1],199x,RU:,\Un,,|
524,Sandra Bernhard,1982-1992,Bernhard,Sandra,F,[1],199x,R:elegant sexy,\Am,,Ty(TV)
525,Sarah Bernhardt,1923,Bernhard,Sarah,F,1844,1923,"R:heroine, courtesan",\Fr,,Nt(Dutch background)
526,Herschel Bernardi,1937-1976,Bernardi,Herschel,M,1923,1986,"R:balding, beaming cop or gangster",\Am,,
527,Sarah Bernhardt,1900-1923,Bernard,Rosalie,F,1844,1923,R:dignified,\Fr,,
528,Elizabeth Berridge,,,,F,[1],199x,RU:,\Un,,|
529,Phillip Berrigan,,,,M,[1],199x,RU:,\Un,,|
530,Chuck Berry,,,,M,[1],199x,RU:,\Un,,|
531,Jules Berry,1934-1947,Paufichet,Jules,M,1883,1951,"R:Saturnine, character",\Fr,,
532,Ken Berry,1970-1974,Berry,Ken,M,1933,199x,R:bird-like comic hero,\Am,,
533,Michael Berryman,,,,M,[1],199x,RU:,\Un,,|
534,Marina Berti,1949-1977,Berti,Marina,F,1928,199x,R:lead,\It,,
535,Bibi Besch,,,,F,[1],199x,RU:,\Un,,|
536,Eugenie Besserer,1912-1933,Besserer,Eugenie,F,1870,1934,R:character,\Am,,
537,Edna Best,1921-1948,Best,Edna,F,1900,1974,R:maternal,\Br,,Mt(Herbert Marshall) Ww(Hitchcock)
538,Willie Best,1930-1955,Best,Willie,M,1916,1962,R:goggled-eyed servant,\Am,,
539,Barbara Bestar,,,,F,[1],199x,RU:,\Un,,|
540,Jack Beutel,,,,M,[1],199x,RU:,\Un,,|
541,Turhan Bey,dow,Bey,Turhan,M,19aa,1995+,R:romantic sheik,\Ct,,
542,Richard Beymer,1952-1983,Beymer,Richard,M,1939,199x,R:juvenile lead,,,|
543,Daniela Bianchi,1959-1968,Bianchi,Daniela,F,1942,199x,R:lead,,,|
544,Charles Bickford,1929-1966,Bickford,Charles,M,1889,1967,"R:rugged, projected sincerity and warmth",\Am,,
545,Michael Biehn,,,,M,[1],199x,RU:,\Un,,|
546,Ramon Bieri,,,,M,[1],199x,RU:,\Un,,|
547,Theodore Bikel,1951-1976,Bikel,Theodore,M,1924,199x,"R:heavily-built, can play most nationalities",\Os,,
548,Tony Bill,1963-1980,Bill,Tony,M,1940,199x,R:light lead,\Am,,
549,Peter Billingsley,,,,M,[1],199x,RU:,\Un,,|
550,Herman Bing,1929-1946,Bing,Herman,M,1889,1947,"R:plump,explosive comedy",\Ge,,
551,Geoff Binney,,,,M,[1],199x,RU:,\Un,,|
552,Edward Binns,1951-1979,Binns,Edward,M,,199x,"R:solid, character",\Am,,
553,Julliette Binoche,1987,Binoche,Julliette,F,1964,199x,R:charming lead,\Fr,,Mt(Andre Halle)
554,Paul Birch,1953-1967,Birch,Paul,M,1900,1969,R:burly,\Am,,
555,Brad Bird,,,,M,[1],199x,RU:,\Un,,|
556,Norman Bird,1954-1981,Bird,Norman,M,1920,199x,R:underdog,\Br,,
557,David Birney,1973-1982,Birney,David,M,1944,199x,R:lead,\Am,,
558,Jennifer Bishop,,,,F,[1],199x,RU:,\Un,,|
559,Pat Bishop,,,,,[1],199x,RU:,\Un,,|
560,Julie Bishop,1933-1957,Brown,Jacqueline,F,1914,199x,R:lead,\Am,,Nt(also Jacqueline Wells)
561,Whit Bissell,1943-1966,Bissell,Whit,M,1919,1981,R:attorneys to garage attendant,\Am,,
562,Jacqueline Bisset,1964-1988,Bisset,Jacqueline,F,1944,199x,R:lead,\Br,,
563,Bonnie Bittner,,,,F,[1],199x,RU:,\Un,,|
564,Bill Bixby,1962-1983,Bixby,Bill,M,1934,1993,R:diffident light lead,\Am,,
565,Gunnar Bjornstrand,1952-1982,"Gunnar Bj\""ornstrand",Gunnar,M,19aa,1986,R:lead,\Sw,,
566,Karen Black,1967-1983,Ziegeler,Karen,F,1942,199x,R:lead,\Am,[4.31],Ww(Hitchcock) Mt(Kit Carson)
567,Honor Blackman,1947-1978,Blackman,Honor,F,1926,199x,"R:`charm school' product, `English rose', later kinky and judo",\Br,[4.76],
568,Joan Blackman,1961-1966,Blackman,Joan,F,1938,199x,R:lead,\Am,,
569,Sidney Blackmer,1929-1968,Blackmer,Sidney,M,1895,1973,R:suave,\Am,,
570,Ruben Blades,1988-1991,Blades,,Ruben M,1948,199x,R:singer,\Pa namanian,,
571,Gerard Blain,1954-1980,Blain,Gerard,M,1930,199x,R:equiv.of James Dean,\Fr,,
